model,year,trivia,bore/stroke,unitary displacement,total displacement,compression ratio,maximum power,power per litre,maximum torque,valve actuation,fuel feed,ignition,lubrication,clutch,frame,front suspension,rear suspension,brakes,transmission,steering,fuel tank,front tyres,rear tyres,type,length,width,height,wheelbase,front track,rear track,weight,top speed,acceleration 0-100,0-400,0-1000,motore,urban test cycle (homologation 4-1993 with precedent testethod),motorway at 90 (homologation 4-1993 with precedent testethod),motorway at 120 (homologation 4-1993 with precedent testethod),"urban test cycle ece (version ""euro 2"")","extra urban test cycle eudc (version ""euro 2"")","consumption ece+eudc (version ""euro 2"")","co2 emissions combined (version ""euro 2"")","urban test cycle ece (version ""euro 3"")","extra urban test cycle eudc (version ""euro 3"")","consumption ece+eudc (version ""euro 3"")","co2 emissions combined (version ""euro 3"")","urban test cycle ece (versione ""euro 3"")","extra urban test cycle eudc (versione ""euro 3"")","consumption ece+eudc (versione ""euro 3"")","co2 emissions combined (versione ""euro 3"")",urban test cycle ece,extra urban test cycle eudc,consumption ece+eudc,co2 emissions combined,overall length,overall width,front overhang,rear overhang,dry weight,kerb weight,boot (trunk) capacity,fuel tank capacity,weight distribution,unit displacement,specific power,dry weight/power,transmission and gearbox,electronic controls,front,rear,maximum speed,0-100 (0-62ph),manual gearbox: 0-400,manual gearbox: 0-1000,f1 gearbox: 0-400,f1 gearbox: 0-1000,combined,*,**,gearbox,maximum power*,maximum revs perinute,specific output,suspension,0-200 (0-124ph),engine intake with twin ø,chassis,overall lenght,height 4,ful tank capacity,weight/power ratio,overall displacement,maximum power**,0-100,0-1.000,cst with f1-trac system,tptms,rear:,combined (ece+eudc)*,front (option),rear (option),overall lenght (in),overall width (in),height (in),wheelbase (in),front track (in),rear track (in),dry wheight* (lb),kerb weight* (lb),fuel tank capacity (gal),boot (trunk) capacity (cu ft),front (in),rear (in),cst with f1-trac,bore and stroke (in),unit displacement (cu in),total displacement (cu in),maximum speed (mph),0-62ph (s),0-1.000 (s),weight/power ratio (lb/cv),combined* (ece+eudc) (l/100 km),combined* (ece+eudc) (g/km),specific power output,weight distribution fr/r,fuel consumption***,emissions***,electronics,***,dry weight*,kerb weight*,boot capacity,bore and stroke,maximum torque**,f1,scm,combined ece*,front (winter),"rear (winter, can be used w/ chain)",0-62ph,0-124ph,suspensions,dry wheight,maximum engine speed,fiorano lap time,rear winter,0-62ph (0-100),0-124ph (0-200),dry weight/power ratio,fuel consumption (europeanarket version),co2 emission (europeanarket version),rear bench capacity,0-437 yd (0-400),0-1093 yd (0-1000),62-0ph (100-0),124-0ph (200-0),co2 emissions ***,7 gears f1 dual clutch transmission,"e-diff3, f1-trac, high performance abs with ferrari pre-fill","rear (winter, can be used with chains)",total capacity,maximum power **,maximum revs,esc,high-performance abs/ebd,f1-trac,e-diff 3,scm-e with dual coil,0-200,"** engine power is expressed in kw, in accordance with",totalaximum power,totalaximum torque,v12aximum power*,v12aximum torque,electricotor output,co2 emissions,0-300,7-speed dct,high perf abs/ebd,ef1-trac,scm-e frs,aerodynamics,maximum revs (limiter),"esc, high performance abs/ebd, f1-trac, e-diff, scc, frd scm-e",7-speed f1 dual-clutch transmission,fuel consumption,high performance abs/ebd distribution,ssc,frs scm-e,0-400m (0-437 yd),0-1000m (0-1093 yd),100 - 0 (62 – 0ph),200 – 0 (124 – 0 kph),co2 emissions***,maximum torque*,dry weight**,kerb weight**,front (opt),rear (opt),cst with f1 trac system (control for stability and traction),maximum revs perinute (limiter),"rear (winter, can be used with chain)",7-speed f1 dual-clutch gearbox,62-0ph,124-0ph,high performance abs/ebd,f1 trac,maximum power *,maximum torque *,kerb weight **,dry weight **,"e-diff3, f1-trac, abs/ebd performance with ferrari pre-fill, frs scm-e, ssc",0-400m,0-1000m,low,mid,high,extra high,7-speed f1 dual-clutch,bore stroke,"e-diff3, f1-trac, high-performance abs with ferrari pre-fill, frs scm-e, ssc",0 – 100,0 – 200,0 – 400,0 – 1000,maximum power output*,max. revs,0-100 km/h,4rm evo/4ws/ 7-speed f1 dct/ e-diff,"ssc4/ cst with f1 trac, esp",9.0 premium with abs evo/scm - e,0 - 100,0 - 200,100 - 0,200 - 0,max. power output*,max. engine speed,"f1 dual-clutch transmission, 7-speed","esp, esc, with f1-trac, e-diff 3, scm- 					e with twin solenoid",100-0,max. torque*,f1 seven-speed dual-clutch transmission,"e-diff3, f1-trac, abs/high performance ebd with ferrari pre-fill, frs scm-e, fde, ssc 6.0",0-200 km/h,100-0 km/h,200-0 km/h,max. speed,f1 7-speed dual-clutch gearbox,"e-diff3, f1-trac, high performance abs/ebd with ferrari pre-fill, frs scm-e, ssc with fde"
212 Inter,1951,"The Gioacchino Colombo V12 was bored out to provide a bigger displacement. The chassis was inspired by that of the 166 MM, with modifications aimed at transmitting the higher power output to the road. The later versions saw the introduction of a tubular chassis known as the ‘Tuboscocca’, which increased structural rigidity.",68 x 58.8 mm,213.54 cc,2562.51 cc,7.5 : 1,110 kW (150 hp) at 6500 rpm,58 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",single Weber 36 DCF carburettor,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, Houdaille hydraulic shock absorbers","live axle, semi-elliptic springs, Houdaille hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,capacity 105 litres,6.40 x 15,6.40 x 15,"coupé, cabriolet, 2+2 or two-seater",-,-,-,2600 mm,1278 mm,1250 mm,"1000 kg (dry, coupé)",200 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342 America,1951,"Interest in Ferraris was growing among potential clients, but some were wary of the competition levels of performance provided by engines which reached the market with very little in the way of detuning. To meet the needs of this type of Client, Ferrari introduced the 342 America, a more accommodating four-seater featuring a more flexible engine, a new synchronised 4-speed gearbox and more user-friendly handling.",80 x 68 mm,341.80 cc,4101.66 cc,8 : 1,147 (200 hp) at 5000 rpm,49 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers",drums,4-speed + reverse,worm and sector,capacity 105 litres,6.40 x 15,6.40 x 15,two-seater coupé or cabriolet,-,-,-,2650 mm,1325 mm,1320 mm,1200 kg (dry),186 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 Export,1951,"Gioachino Colombo’s V12 was given a further boost in power to 2562.51 cm3. A new chassis was constructed; one with a more rigid undercarriage, to be able to withstand the 150 bhp the engine was capable of delivering. In the 212 Vittorio Marzotto won the Targa Florio and the Taruffi-Chinetti team came first in the Carrera Panamerica.",68 x 58.8 mm,213.54 cc,2562.51 cc,8.4 : 1,121 kW (165 hp) at 7000 rpm,64 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 36 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, Houdaille hydraulic shock absorbers","live axle, semi-elliptic springs, Houdaille hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,capacity 120 litres,5.50 x 16,5.50 x 16,"two-seater berlinetta, spider, cabriolet",-,-,-,2250 mm,1278 mm,1250 mm,"850 kg (dry, berlinetta)",220 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 S,1952,"Based yet again on the designs of Gioachino Colombo developed Aurelio Lampredi, the V12 Ferrari was a three-litre with coachwork by Vignale and Touring. Nineteen fifty-two proved a great year for Ferrari with Bracco delivering a magnificent performance on the Passo della Futa to win the 1952 Mille Miglia and Ascari turning in the fastest circuit at Le Mans.The constant improvements made to the 250 Sport over its racing career eventually led to the building of the 250MM.",73 x 58.8 mm,246.10 cc,2953.21 cc,9 : 1,169 kW (230 hp) at 7500 rpm,78 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 36 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,capacity 150 litres,5.50 x 16,6.00 x 16,two-seater berlinetta,3800 mm,1570 mm,1400 mm,2250 mm,1278 mm,1250 mm,850 kg (dry),250 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrari 225 S,1952,"Ferrari continued with its development of two absolute jewels at this particular time: the two V12s designed respectively by Gioachino Colombo and Aurelio Lampredi. Columbo’s touch was still very much in evidence in the 225 S’s engine, although the improvements made to it were entirely the result of Lampredi’s research, particularly the strikingly innovative and efficient design of the intake manifold and the distribution. A number of examples were built using Gilco’s “Tuboscocca” (tubular semi-monocoque) chassis design, while the bodywork bore witness to the artistry of Touring and Vignale, both at the height of their creativity at that time.",70 x 58.8 mm,226.28 cc,2715.46 cc,8.5 : 1,154 kW (210 hp) at 7200 rpm,77 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 36 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, twin semi-elliptic springs, hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,-,5.50 x 16,6.00 x 16,"two-seater berlinetta, spider",-,-,-,2250 mm,1278 mm,1250 mm,850 kg (dry),230 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340 Mexico,1952,"Resounding success in the 1951 Carrera Panamericana convinced Enzo Ferrari to create this car. Only four examples were built in all by Vignale: three Berlinettas and one Spider. To meet the incredible competition head on, a more geared-up fifth gear was added as were new cylinder heads with quadruple carburettors that would further boost the engine’s already impressive power. The rear axle and transmission were also further strengthened. Chinetti and Lucas went on to finish the race in third position.",80 x 68 mm,341.80 cc,4101.66 cc,8 : 1,206 kW (280 hp) at 6600 rpm,68 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCF/3 carburettors,"single spark plug per cylinder, two coils",wet sump,multi-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers, anti-roll bar","live axle, twin radius arms, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar",drums,5-speed + reverse,worm and sector,capacity 150 litres,5.50 x 16,6.50 x 16,"two-seater berlinetta, spider",4201 mm,1503 mm,1333 mm (berlinetta),2600 mm,1278 mm,1250 mm,"900 kg (dry, berlinetta)",282 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 Europa,1953,"The 250 Europa took over from the 212 Inter, and for economies of scale, shared the same chassis as the 375 America. The Lampredi V12 was kept below 3 litres.",68 x 68 mm,246.95 cc,2963.45 cc,8 : 1,147 kW (200 hp) at 6300 rpm,67 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 36 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,twin-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, Houdaille hydraulic shock absorbers","live axle, semi-elliptic springs, Houdaille hydraulic shock absorbers",drums,4-speed + reverse,worm and sector,capacity 140 litres,7.10 x 15,7.10 x 15,"two-seater coupé, cabriolet",-,-,-,2800 mm,1325 mm,1320 mm,"1150 kg (dry, coupé)",218 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375 America,1953,"Heir to the 342 America, this model was aimed at the same segment of the market. The Colombo-designed V12 was dropped in favour of the Aurelio Lampredi version that featured cylinder heads with twin inlet tracts.",84 x 68 mm,376.84 cc,4522.08 cc,8 : 1,221 kW (300 hp) at 6300 rpm,66 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,twin-plate,tubular steel,"independent, unqual-length wishbones, transverse leaf spring, Houdaille hydraulic shock absorbers","live axle, semi-elliptic springs, Houdaille hydraulic shock absorbers",drums,4-speed + reverse,worm and sector,capacity 140 litres,7.10 x 15,7.10 x 15,two-seater coupé,-,-,-,2800 mm,1325 mm,1320 mm,1150 kg (dry),250 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 MM,1953,"Two versions of the 250 Sport-derived 250 MM were built: a Pininfarina berlinetta, which hailed in a whole new era in design, and a barchetta by Vignale. Significant improvements had been made to both the engine and the suspensions with the addition of Houdaille shocks. Although the gearbox was designed with only four synchronised gears, the car was much easier to handle (the gears were much easier to change?). In addition to victories on its home turf, the 250 MM also scored some early successes in the States with Phil Hill at the wheel.",73 x 58.8 mm,246.10 cc,2953.21 cc,9 : 1,176 kW (240 hp) at 7200 rpm,81 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 36 IF/4C carburettors,"single spark plug per cylinder, two coils",wet sump,multi-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, Houdaille hydraulic shock absorbers","live axle, semi-elliptic springs, Houdaille hydraulic shock absorbers",drums,4-speed + reverse,worm and sector,capacity 150 litres,6.00 x 16,6.00 x 16,"two-seater berlinetta, spider",-,-,-,2400 mm,1300 mm,1320 mm,"900 kg (dry, berlinetta)",250 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340 MM,1953,"The 340 MM was built for the 1953 Mille Miglia which Giannino Marzotto duly won in a barchetta version with coachwork by Vignale. Marzotto set a new record speed for the race at an average of over 142 km/h. However, the car was quite a handful to drive, thanks in part to its incredible power which very few drivers ever managed to fully exploit. However, Gigi Villoresi was one of the greats who did, roaring to victory in the Giro di Sicilia in the same year. Formula 1 champion Alberto Ascari also contributed to the development of the 340 MM.",80 x 68 mm,341.80 cc,4101.66 cc,8 : 1,206 kW (280 hp) at 6600 rpm,68 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCF carburettors,"single spark plug per cylinder, two magnetos",wet sump,multi-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, twin radius arms, semi-elliptic springs, hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,capacity 177 litres,5.50 x 16,6.50 x 16,"two-seater berlinetta, spider",-,-,-,2500 mm,1325 mm,1320 mm,"850 kg (dry, spider)",282 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375 MM,1953,"The 375 Mille Miglia carried on the Ferrari tradition of naming sports models after the famous Italian road race and was a spin-off of the F1 single-seater, just like its sister car, the 375 America, which was the GT equivalent. The engine was based on its F1 counterpart, albeit with a new crankshaft giving a shorter, 68 mm stroke but with a bigger bore for a larger, 4.5-litre displacement. The engine debuted in a 340 berlinetta at Le Mans where it was driven by Ascari and Villoresi. Subsequently Pininfarina built a series of around 10 spiders and a few berlinettas which were mainly fielded by privateers.",84 x 68 mm,376.84 cc,4522.68 cc,9 : 1,250 kW (340 hp) at 7000 rpm,75 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 IF/4C or 42 DCZ carburettors,"single spark plug per cylinder, two magnetos",wet sump,multi-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, anti-roll bar, Houdaille hydraulic shock absorbers","live axle, semi-elliptic springs, twin radius arms, twin Houdaille hydraulic shock absorbers",drums,4-speed + reverse,worm and sector,capacity 180 litres,6.50 x 16,6.50 x 16,"two-seater berlinetta, spider",-,-,-,2600 mm,1325 mm,1320 mm,900 kg (dry),289 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625 TF,1953,"This is an interesting model from many points of view starting with the fact that the 625 of its name refers to the ccs of the 1954 F1 2.5-litre and the TF may refer to the Targa Florio even though the car never actually raced in it. Of the three models built, a spider version driven by Mike Hawthorn took fourth position in the Grand Prix at the Autodromo in Monza in June 1953. All three cars (two spiders and one coupe, all with coachwork by Vignale) were later sold but with their original 625s replaced by different engines.",94 x 90 mm,624.58 cc,2498.32 cc,9 : 1,162 kW (220 hp) at 7000 rpm,88 hp/l,-,"twin overhead camshaft per bank, two valves per cylinder",two Weber 50 DCO4 carburettors,"two spark plugs per cylinder, two coils",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","de Dion, twin radius arms, transverse leaf spring, hydraulic shock absorbers",drums,4-speed + reverse,worm and sector,capacity 120 litres,5.25 x 16,6.50 x 16,"two-seater berlinetta, spider",-,-,-,2250 mm,1278 mm,1284 mm,730 kg (kerb),240 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735 S,1953,"The in-line 4-cylinder Ferrari engine started out its career in the 1950 Formula 2 Championship. This engine type had proved itself a winner on both twisty and fast circuits and so it was decided to transfer the technology to sports cars. Testing carried out on a 250 MM chassis produced encouraging results and so, bored out to 3,000 cc, the engine made its debut in the new 735 S, demonstrating great potential from its very first outing on the Senigallia track. The races which followed confirmed its prowess and it was decided that it should be further developed.",102 x 90 mm,735.41 cc,2941.66 cc,9 : 1,165 kW (225 hp) at 6800 rpm,76 hp/l,-,"twin overhead camshaft per bank, two valves per cylinder",two Weber 50 DCOA carburettors,"two spark plugs per cylinder, two coils",dry sump,twin-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","de Dion, twin radius arms, transverse leaf spring, hydraulic shock absorbers",drums,4-speed + reverse,worm and sector,capacity 125 litres,5.25 x 16,6.00 x 16,two-seater spider,-,-,-,2250 mm,1278 mm,1284 mm,750 kg (kerb),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 Mondial,1953,"The first of these cars was built by a young coachbuilder from Modena called Scaglietti and was inspired by a design created by Dino Ferrari to freshen up the look of the old 166 given to him by his father. The models built for sale to the public were the work of Pinin Farina who built around 15 of the spiders in all. Powered by a 2000 cc four-cylinder engine, this model acquitted itself very honourably indeed in a whole host of races, topping its category in many.",90 x 78 mm,496.21 cc,1984.86 cc,8.5 : 1,125 kW (170 hp) at 7000 rpm,86 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",two Weber 45 DCOA/3 carburettors,"two spark plugs per cylinder, two coils",dry sump,twin-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, Houdaille hydraulic shock absorbers","de Dion, twin radius arms, transverse leaf spring, Houdaille hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,capacity 150 litres,5.25 x 16,6.00 x 16,"two-seater spider, berlinetta",-,-,-,2250 mm,1278 mm,1284 mm,720 kg (dry),236 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 GT Coupé,1954,"Presented at the Paris Motor Show in 1954, the 250 GT Coupé represented Ferrari’s first attempt at standardising a model destined for the normal motorist. Developed from the 250 Europa, it was fitted with a version of the Colombo Type 125 engine fed by three classic Weber 36 DCZ carburettors.",73 x 58.8 mm,246.10 cc,2953.21 cc,8.5 : 1,162 kW (220 hp) at 7000 rpm,74 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 36 DCZ/3 carburettors,"single spark plug per cylinder, two coils",wet sump,twin-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, single radius arm, semi-elliptic springs, hydraulic shock absorbers",drums,4-speed + reverse,worm and sector,capacity 100 litres,6.00 x 16,6.00 x 16,"coupé, two-seater",-,-,-,2600 mm,1354 mm,1349 mm,1050 kg (dry),230 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375 Plus,1954,"After winning the Auto Sport World Championships in 1953, Enzo Ferrari decided to build a small series of spiders that would spearhead the Scuderia’s latest assault on the World title. These cars were to be known as the 375 PLUS for which Aurelio Lampredi developed a truly powerful V12 engine of nearly five litres while Pinin Farina took care of the coachwork. The results lived up to all expectations and the car also triumphed at Agadir, Silverstone and Le Mans. However, its most significant victory of all was Umberto Maglioli’s at the Carrera Panamericana.",84 x 74.5 mm,412.86 cc,4954.34 cc,9.2 : 1,243 kW (330 hp) at 6000 rpm,67 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 46 DCF/3 carburettors,"single spark plug per cylinder, two magnetos",dry sump,multi-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, Houdaille hydraulic shock absorbers, anti-roll bar","de Dion, twin radius arms, transverse leaf spring, Houdaille hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,capacity 190 litres,6.00 x 16,7.00 x 16,two-seater spider,-,-,-,2600 mm,1325 mm,1284 mm,1030 kg (dry),280 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
